종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"005710","대원산업","0","20037600","0.0","1.0419552E8","0.00"
"290380","대유","0","24713612","0.0","1.08739893E8","0.00"
"290120","대유에이피","0","11504019","0.0","6.2926984E7","0.00"
"120240","대정화금","0","7190391","0.0","1.22955686E8","0.00"
"003310","대주산업","0","35392350","0.0","1.1024717E8","0.00"
"078600","대주전자재료","392420","15480593","2.5036396E7","9.87661833E8","2.53"
"096350","대창솔루션","0","163761009","0.0","6.5176882E7","0.00"
"140520","대창스틸","0","21109243","0.0","6.5966384E7","0.00"
"131220","대한과학","0","7454490","0.0","5.1585071E7","0.00"
"010170","대한광통신","170964","73741625","386379.0","1.66656073E8","0.23"
"060900","대한그린파워","0","172786805","0.0","1.2544322E8","0.00"
"054670","대한뉴팜","0","14354920","0.0","1.48573422E8","0.00"
"023910","대한약품","0","6000000","0.0","1.524E8","0.00"
"021040","대호특수강","0","75398540","0.0","4.5917711E7","0.00"
"021045","대호특수강우","0","4242466","0.0","5578843.0","0.00"
"067080","대화제약","21267","18616650","148018.0","1.29571884E8","0.11"
"298540","더네이쳐홀딩스","0","14544656","0.0","4.15249929E8","0.00"
"299170","더블유에스아이","0","30027963","0.0","5.4650893E7","0.00"
"213420","덕산네오룩스","179189","24831179","5357751.0","7.42452252E8","0.72"
"317330","덕산테코피아","0","18377428","0.0","2.74742549E8","0.00"
"077360","덕산하이메탈","0","45437002","0.0","2.96249253E8","0.00"
"090410","덕신하우징","98813","46084095","227764.0","1.06223839E8","0.21"
"263600","덕우전자","0","15930310","0.0","9.8290013E7","0.00"
"194480","데브시스터즈","139515","11827160","5894509.0","4.9969751E8","1.18"
"263800","데이타솔루션","0","16190580","0.0","8.7591038E7","0.00"
"206560","덱스터","25783","25410336","355805.0","3.50662637E8","0.10"
"261200","덴티스","0","14757890","0.0","1.28393643E8","0.00"
"067990","도이치모터스","0","31475554","0.0","2.54951987E8","0.00"
"006620","동구바이오제약","36467","28464992","239224.0","1.86730348E8","0.13"
"100130","동국S&C","52385","57143000","291261.0","3.1771508E8","0.09"
"005160","동국산업","65071","54244482","182199.0","1.5188455E8","0.12"
"075970","동국알앤에스","0","18400000","0.0","6.6332E7","0.00"
"086450","동국제약","386373","44460000","7785416.0","8.95869E8","0.87"
"099410","동방선기","0","13541002","0.0","4.0352186E7","0.00"
"033500","동성화인텍","45789","29625030","476206.0","3.08100312E8","0.15"
"025950","동신건설","0","8400000","0.0","1.6128E8","0.00"
"088130","동아엘텍","16490","10662938","115265.0","7.4533937E7","0.15"
"041930","동아화성","18215","15800000","142077.0","1.2324E8","0.12"
"060380","동양에스텍","0","19700000","0.0","4.52115E7","0.00"
"079960","동양이엔피","0","7860000","0.0","1.01787E8","0.00"
"228340","동양파일","0","20000000","0.0","7.3E7","0.00"
"088910","동우팜투테이블","0","25831764","0.0","6.8325016E7","0.00"
"094170","동운아나텍","27910","17577506","242259.0","1.52572752E8","0.16"
"013120","동원개발","73017","90808100","301195.0","3.74583413E8","0.08"
"109860","동일금속","0","9100000","0.0","1.57885E8","0.00"
"032960","동일기연","0","3635150","0.0","4.434883E7","0.00"
"023790","동일철강","0","15984446","0.0","4.0920182E7","0.00"
"005290","동진쎄미켐","915553","51414494","2.9206141E7","1.640122359E9","1.78"
"025900","동화기업","14736","20201177","879739.0","1.206010267E9","0.07"
"131970","두산테스나","473520","14759577","1.4300304E7","4.45739225E8","3.21"
"073190","듀오백","0","11968040","0.0","2.6090327E7","0.00"
"030350","드래곤플라이","0","41336352","0.0","7.4198752E7","0.00"
"203650","드림시큐리티","0","50605754","0.0","1.58902068E8","0.00"
"223250","드림씨아이에스","0","5925720","0.0","8.296008E7","0.00"
"060570","드림어스컴퍼니","106632","56859847","341756.0","1.8223581E8","0.19"
"217620","디딤","0","41651732","0.0","5.747939E7","0.00"
"016670","디모아","146661","101858024","142701.0","9.9107857E7","0.14"
"187870","디바이스이엔지","0","7036609","0.0","1.18918692E8","0.00"
"066670","디스플레이텍","0","18691918","0.0","1.03927064E8","0.00"
"110990","디아이티","0","18900000","0.0","1.2852E8","0.00"
"078590","디아크","637773","133006958","1517900.0","3.1655656E8","0.48"
"263690","디알젬","0","11325610","0.0","9.6947222E7","0.00"
"214680","디알텍","67628","58019955","100766.0","8.6449733E7","0.12"
"263720","디앤씨미디어","8459","12275111","179754.0","2.60846109E8","0.07"
"376300","디어유","0","21977166","0.0","7.29641911E8","0.00"
"141020","디에스앤엘","0","32802132","0.0","4.3790846E7","0.00"
"109740","디에스케이","32858","27024910","164947.0","1.35665048E8","0.12"
"196490","디에이테크놀로지","0","24686321","0.0","9.380802E7","0.00"
"066900","디에이피","0","22744503","0.0","7.3351022E7","0.00"
"180400","디엑스앤브이엑스","384435","28692885","2975527.0","2.2208293E8","1.34"
"127120","디엔에이링크","0","17093692","0.0","6.8203831E7","0.00"
"092070","디엔에프","21798","11571858","301902.0","1.60270233E8","0.19"
"039840","디오","32434","15881755","836797.0","4.09749279E8","0.20"
"219550","디와이디","0","36737590","0.0","5.1432626E7","0.00"
"310870","디와이씨","0","20687271","0.0","2.9169052E7","0.00"
"104460","디와이피엔에프","0","10713625","0.0","4.03903663E8","0.00"
"079810","디이엔티","0","14854303","0.0","9.9375287E7","0.00"
"113810","디젠스","0","32628051","0.0","3.7848539E7","0.00"
"043360","디지아이","0","9000000","0.0","3.231E7","0.00"
"197140","디지캡","0","9557649","0.0","3.6988102E7","0.00"
"068930","디지털대성","14480","29800739","100057.0","2.05923106E8","0.05"
"033130","디지틀조선","0","37115267","0.0","7.8869942E7","0.00"
"105740","디케이락","11413","8491912","106027.0","7.8889862E7","0.13"
"263020","디케이앤디","0","15526404","0.0","4.4250251E7","0.00"
"290550","디케이티","0","16462666","0.0","1.49645634E8","0.00"
"187220","디티앤씨","0","11698021","0.0","5.8022184E7","0.00"
"131180","딜리","0","29350000","0.0","4.49055E7","0.00"
