적출일,공매도 거래제한일_시작일,공매도 거래제한일_종료일,종목코드,종목명,시장구분,공매도 과열종목 적출 지표_과거40거래일 중 종목 거래일수,공매도 과열종목 적출 지표_공매도비중,공매도 과열종목 적출 지표_주가 수익률,공매도 과열종목 적출 지표_공매도 거래대금 증가배율,공매도 과열종목 적출 지표_직전40거래일 공매도비중 평균,지정유형
"2021/09/14","2021/09/15","2021/09/15","183490","엔지켐생명과학","KOSDAQ","40",,,"5.62","9.18","유형3"
"2021/09/14","2021/09/15","2021/09/15","069080","웹젠","KOSDAQ","40",,,"9.47","7.38","유형3"
"2021/09/14","2021/09/15","2021/09/15","115450","지트리비앤티","KOSDAQ","40",,,"18.46","5.79","유형3"
"2021/09/13","2021/09/14","2021/09/14","060720","KH바텍","KOSDAQ","40",,"-10.05","6.52",,"유형2"
"2021/09/10","2021/09/13","2021/09/13","182400","엔케이맥스","KOSDAQ","40",,,"19.57","7.05","유형3"
"2021/09/10","2021/09/13","2021/09/13","069080","웹젠","KOSDAQ","40",,,"8.24","7.34","유형3"
"2021/09/08","2021/09/09","2021/09/09","108320","LX세미콘","KOSDAQ","40",,,"5.20","9.29","유형3"
"2021/09/08","2021/09/09","2021/09/09","086900","메디톡스","KOSDAQ","40",,"-12.72","5.28",,"유형2"
"2021/09/08","2021/09/09","2021/09/09","015750","성우하이텍","KOSDAQ","40",,,"5.51","5.62","유형3"
"2021/09/08","2021/09/09","2021/09/09","182400","엔케이맥스","KOSDAQ","40",,,"7.53","7.09","유형3"
"2021/09/03","2021/09/06","2021/09/06","035600","KG이니시스","KOSDAQ","40",,,"5.39","5.42","유형3"
"2021/09/03","2021/09/06","2021/09/06","006730","서부T&D","KOSDAQ","40",,,"5.32","9.23","유형3"
"2021/09/03","2021/09/06","2021/09/06","064760","티씨케이","KOSDAQ","40",,"-14.76","5.95",,"유형2"
"2021/09/02","2021/09/03","2021/09/03","182400","엔케이맥스","KOSDAQ","40",,,"7.00","7.16","유형3"
