종목코드,종목명,증권구분,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"005720","넥센","주권","1","0","1","3563","0.03","3480","0","3480","12436890","0.03"
"005725","넥센우","주권","0","0","0","362","0.00","0","0","0","1109825","0.00"
"002350","넥센타이어","주권","7337","0","7337","53502","13.71","40450110","0","40450110","295504960","13.69"
"002355","넥센타이어1우B","주권","0","0","0","2494","0.00","0","0","0","6835655","0.00"
"251270","넷마블","주권","22875","22617","258","151270","15.12","1578939600","1561188800","17750800","10445557700","15.12"
"090350","노루페인트","주권","279","0","279","49568","0.56","2332720","0","2332720","416750900","0.56"
"090355","노루페인트우","주권","0","0","0","825","0.00","0","0","0","12353300","0.00"
"000320","노루홀딩스","주권","0","0","0","3702","0.00","0","0","0","39848750","0.00"
"000325","노루홀딩스우","주권","0","0","0","664","0.00","0","0","0","16977550","0.00"
"006280","녹십자","주권","2540","2470","70","26078","9.74","454300500","441694500","12606000","4660546000","9.75"
"005250","녹십자홀딩스","주권","568","453","115","36706","1.55","11428300","9095600","2332700","738737000","1.55"
"005257","녹십자홀딩스2우","주권","0","0","0","3568","0.00","0","0","0","203785000","0.00"
"004370","농심","주권","1200","1128","72","23999","5.00","340221500","319796500","20425000","6798669000","5.00"
"072710","농심홀딩스","주권","0","0","0","1523","0.00","0","0","0","104106100","0.00"
"058730","다스코","주권","0","0","0","964785","0.00","0","0","0","5401162550","0.00"
"030210","다올투자증권","주권","1459","0","1459","79101","1.84","6251830","0","6251830","340863505","1.83"
"023590","다우기술","주권","170","0","170","29460","0.58","3026000","0","3026000","525165350","0.58"
"145210","다이나믹디자인","주권","0","0","0","7178","0.00","0","0","0","33931150","0.00"
"019680","대교","주권","2","0","2","25938","0.01","5850","0","5850","75574360","0.01"
"019685","대교우B","주권","0","0","0","18307","0.00","0","0","0","40232575","0.00"
"006370","대구백화점","주권","0","0","0","572","0.00","0","0","0","6385550","0.00"
"008060","대덕","주권","0","0","0","69018","0.00","0","0","0","431115270","0.00"
"00806K","대덕1우","주권","0","0","0","877","0.00","0","0","0","8086640","0.00"
"353200","대덕전자","주권","214","0","214","639395","0.03","6026100","0","6026100","18173319550","0.03"
"35320K","대덕전자1우","주권","0","0","0","5198","0.00","0","0","0","63992800","0.00"
"000490","대동","주권","56","0","56","336095","0.02","641200","0","641200","3913079350","0.02"
"008110","대동전자","주권","0","0","0","17340","0.00","0","0","0","111500510","0.00"
"005750","대림B&Co","주권","1","0","1","20394","0.00","5000","0","5000","102038790","0.00"
"006570","대림통상","주권","0","0","0","858","0.00","0","0","0","3336470","0.00"
"001680","대상","주권","4281","1179","3102","54096","7.91","92112700","25392300","66720400","1166473900","7.90"
"001685","대상우","주권","0","0","0","2383","0.00","0","0","0","38020400","0.00"
"084690","대상홀딩스","주권","775","0","775","34369","2.25","6189880","0","6189880","273909040","2.26"
"084695","대상홀딩스우","주권","0","0","0","9031","0.00","0","0","0","89105370","0.00"
"128820","대성산업","주권","1","0","1","357936","0.00","5130","0","5130","1834984560","0.00"
"117580","대성에너지","주권","0","0","0","498856","0.00","0","0","0","5433351900","0.00"
"016710","대성홀딩스","주권","0","0","0","58556","0.00","0","0","0","4402772500","0.00"
"003540","대신증권","주권","1568","0","1568","34379","4.56","23363200","0","23363200","513642850","4.55"
