,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
172,014820,동원시스템즈,48400,550,1.15,47550,48950,47400,21566,1036102800,1239935932400,25618511,2017,10,0.08418131717335173,0.0835609948003149
173,000540,흥국화재,6180,0,0.0,6080,6310,6080,54543,339890310,397019546100,64242645,2017,10,0.08490154787369045,0.08561047266785941
174,000050,경방,14550,0,0.0,14550,14800,14300,23419,340969000,398892178500,27415270,2017,10,0.08542319663457627,0.0854789886535717
175,133820,화인베스틸,2105,5,0.24,2100,2120,2075,28059,58739725,67570500000,32100000,2017,10,0.08741121495327102,0.08693102019372359
176,129260,인터지스,2990,15,0.5,2975,3005,2960,26034,77565365,88946143260,29747874,2017,10,0.08751549774615827,0.08720486595272305
177,009580,무림P&P,4200,-10,-0.24,4200,4210,4165,54682,228989955,261946960800,62368324,2017,10,0.08767591702480253,0.08741844314614396
178,002820,선창산업,7960,-100,-1.24,8050,8190,7960,11056,88959200,100359592440,12607989,2017,10,0.08769043183651254,0.08864045562279886
179,053210,스카이라이프,13900,-100,-0.71,14050,14050,13900,41944,584931100,664725327400,47821966,2017,10,0.08770864836464481,0.08799590987271294
180,016610,동부증권,3495,45,1.3,3440,3505,3415,37325,129180520,148350129555,42446389,2017,10,0.08793445303439121,0.0870781308971537
181,003570,S&T중공업,8370,80,0.97,8280,8400,8280,28556,238963750,271802684430,32473439,2017,10,0.08793648248958172,0.08791809782936219
182,019680,대교,8210,30,0.37,8130,8230,8080,75029,612549690,695410398500,84702850,2017,10,0.08857907378559281,0.08808463194126367
183,010690,화신,4995,75,1.52,4860,5000,4860,31151,154552570,174427447950,34920410,2017,10,0.08920571092951085,0.08860564768699869
184,006805,미래에셋대우우,6500,40,0.62,6490,6510,6410,12579,81645570,91492375000,14075750,2017,10,0.08936646359874252,0.08923756761150861
185,084670,동양고속,37000,100,0.27,37050,37100,36700,2321,85675900,95904000000,2592000,2017,10,0.08954475308641975,0.08933506423089757
186,153360,하이골드3호,1715,-5,-0.29,1725,1725,1710,14541,24872030,27696889850,16149790,2017,10,0.09003832247973503,0.08980080483657626
187,018500,동원금속,3365,-25,-0.74,3340,3390,3205,33317,109839345,120988349545,35954933,2017,10,0.09266322370841297,0.0907850593987537
188,017900,광전자,2740,35,1.29,2705,2750,2675,54123,146784155,158765910620,57943763,2017,10,0.09340608410261515,0.09245319377868348
189,008870,금비,78400,700,0.9,78100,78500,77600,947,73851900,78400000000,1000000,2017,10,0.0947,0.09419885204081632
190,002030,아세아,115000,2500,2.22,111500,115000,111500,2093,237140000,251967760000,2191024,2017,10,0.09552611016584026,0.0941152153751734
191,009680,모토닉,9240,60,0.65,9180,9240,9140,31595,290091220,304920000000,33000000,2017,10,0.09574242424242425,0.09513682933228387
192,003200,일신방직,120000,1500,1.27,118000,122500,118000,2300,277736000,288000000000,2400000,2017,10,0.09583333333333333,0.09643611111111111
193,001750,한양증권,8100,30,0.37,8060,8100,8050,12201,98613020,103101125400,12728534,2017,10,0.09585550071987867,0.09564688999990295
194,002760,보락,974,-3,-0.31,977,1005,970,57608,56936352,58342600000,59900000,2017,10,0.09617362270450752,0.09758967204067011
195,016710,대성홀딩스,8460,0,0.0,8490,8500,8400,15475,130425080,136116823140,16089459,2017,10,0.09618098408405155,0.09581848664353129
196,009970,영원무역홀딩스,56000,-100,-0.18,56100,56800,55500,13150,737017500,763593152000,13635592,2017,10,0.09643879048302413,0.09651965815429418
197,003300,한일시멘트,134000,-2000,-1.47,136000,136500,133000,7285,976478500,1011071942000,7545313,2017,10,0.09655000395609831,0.09657853802850361
