,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
119,119,(주)다우데이타,32190,16-Dec,10174843743,271676479.0,264165612,2178314.0,174059793,-4899119.0,,,
120,120,(주)다우데이타,32190,17-Dec,13561817098,276363963.0,353592373,6083164.0,235838323,7967929.0,33.28771862,33.85253679422892,35.492705658911134
121,121,(주)다원시스,68240,16-Dec,238005407,232029037.0,9238031,9718640.0,6764328,7423767.0,,,
122,122,(주)다원시스,68240,17-Dec,350900018,328624050.0,8829227,13320051.0,5399255,10080080.0,47.43363288,-4.425228709451181,-20.180467298451525
123,123,(주)대동스틸,48470,16-Dec,62713387,62713387.0,4363762,4363762.0,4323491,4323491.0,,,
124,124,(주)대동스틸,48470,17-Dec,79369589,79369589.0,5542430,5542430.0,6150199,6150199.0,26.55924484,27.010363993270026,42.2507644863838
125,125,(주)대륙제관,4780,16-Dec,148458348,148458348.0,18966296,18966296.0,14509605,14509605.0,,,
126,126,(주)대륙제관,4780,17-Dec,154374507,154374507.0,12996725,12996725.0,9617357,9617357.0,3.985063204,-31.47462741275365,-33.71730657037183
127,127,(주)대림제지,17650,16-Dec,121643715,121643715.0,7191287,7191287.0,16986236,16986236.0,,,
128,128,(주)대림제지,17650,17-Dec,238756286,203465141.0,4980325,4504268.0,3254628,-453981.0,96.27506937,-30.745011289356132,-80.83961626342646
129,129,(주)대명소노시즌,7720,16-Dec,149046295,147691866.0,254470,3799956.0,-1596418,-4194922.0,,,
130,130,(주)대명소노시즌,7720,17-Dec,419082043,147929577.0,7808218,7151401.0,17627423,-4643848.0,181.1757535,2968.4237827641764,1204.1859337592034
131,131,(주)대성미생물연구소,36480,16-Dec,35607494,35607494.0,4946738,4946738.0,4494825,4494825.0,,,
132,132,(주)대성미생물연구소,36480,17-Dec,34782459,34782459.0,1993794,1993794.0,1557554,1557554.0,-2.317026298,-59.69477259559734,-65.34783890362806
133,133,(주)대성엘텍,25440,16-Dec,117113444,107847174.0,5711527,5408485.0,1542817,2743431.0,,,
134,134,(주)대성엘텍,25440,17-Dec,106850466,100641653.0,2063147,2186233.0,-4087929,-6306893.0,-8.763279133,-63.87748845448862,-364.96525511450807
135,135,(주)대성파인텍,104040,16-Dec,67762288,66424595.0,4906064,5031930.0,3951523,4100455.0,,,
136,136,(주)대성파인텍,104040,17-Dec,87555780,86421686.0,3264517,3392847.0,2137708,2282260.0,29.21018842,-33.459551281842224,-45.90166879959955
137,137,(주)대원,7680,16-Dec,430260352,368104611.0,17479951,17512814.0,38059415,36887603.0,,,
138,138,(주)대원,7680,17-Dec,429674709,392648564.0,23997767,23341600.0,23603138,23296823.0,-0.136113634,37.28738141199595,-37.98344509499161
139,139,(주)대창솔루션,96350,16-Dec,146530880,120837872.0,-6047049,-6957204.0,-8373170,-11296266.0,,,
140,140,(주)대창솔루션,96350,17-Dec,137335520,111928773.0,-7984778,-8915691.0,-11326344,-11282110.0,-6.275373491,-32.04420867103938,-35.26948575031918
141,141,(주)대창스틸,140520,16-Dec,294916418,219902951.0,-1407683,448650.0,-4532675,-1066255.0,,,
142,142,(주)대창스틸,140520,17-Dec,307195349,226666608.0,5624583,4422935.0,1888802,186544.0,4.163529139,499.5631829041056,339.9761859633779
143,143,(주)대한과학,131220,16-Dec,40753773,36767515.0,1640485,903455.0,2248141,1321680.0,,,
144,144,(주)대한과학,131220,17-Dec,36895656,32126203.0,1932448,854235.0,1346157,525185.0,-9.466895249,17.79735870794308,-40.12132690965558
145,145,(주)대호특수강,21040,16-Dec,141186208,141186208.0,11905856,11905856.0,5604812,5604812.0,,,
146,146,(주)대호특수강,21040,17-Dec,151074017,151074017.0,10239635,10239635.0,4014068,4014068.0,7.003381662,-13.994970206258165,-28.381754820679088
