회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액2019
(주)레이크머티리얼즈,281740,19-Dec,,,0,0,#DIV/0!
(주)로보로보,215100,18-Dec,8320764,14681307,9592135,17320271,55.38097527
(주)로보로보,215100,19-Dec,7010232,11262334,8104954,13825738,58.62221604
(주)로보스타,90360,18-Dec,169039109,189700329,171773248,193174244,88.921403
(주)로보스타,90360,19-Dec,156073740,170632097,163288128,177224395,92.13637208
(주)로보티즈,108490,18-Dec,12883830,24098201,13417415,24266778,55.29129166
(주)로보티즈,108490,19-Dec,11897394,22704394,12070163,25231157,47.83832545
(주)로지시스,67730,18-Dec,35888452,40026290,35888452,40026290,89.66219952
(주)로지시스,67730,19-Dec,29891866,33448153,29891866,33448153,89.3677627
(주)루멘스,38060,18-Dec,148705650,155418796,297278361,325834561,91.23598187
(주)루멘스,38060,19-Dec,154843530,140695879,312122103,323587779,96.45670302
(주)루트로닉,85370,18-Dec,48242466,86000503,46610053,92141601,50.58524325
(주)루트로닉,85370,19-Dec,55307825,98650924,57208431,115684801,49.45198549
(주)룽투코리아,60240,18-Dec,10522641,34464503,20186781,57526531,35.09125381
(주)룽투코리아,60240,19-Dec,8421177,29017327,10434460,30101838,34.66386338
(주)리노스,39980,18-Dec,39313628,71640318,39313628,71640318,54.87640074
(주)리노스,39980,19-Dec,52325531,81276664,52334659,81286180,64.38321865
(주)리더스코스메틱,16100,18-Dec,40164766,78695637,90198370,139186289,64.8040627
(주)리더스코스메틱,16100,19-Dec,25913829,39573883,68137791,95635456,71.24741581
(주)리드,197210,18-Dec,22652317,32067167,23200733,32781295,70.77430285
(주)리드,197210,19-Dec,16771194,16811323,18477119,18396311,100.439262
(주)리드코프,12700,18-Dec,231824617,391229511,245941799,464040182,53.0001083
(주)리드코프,12700,19-Dec,342663097,430997607,380193772,495358851,76.75118174
(주)리메드,302550,18-Dec,4007157,8003940,4007157,8003940,50.06480558
(주)리메드,302550,19-Dec,7874382,18550238,7874382,18550238,42.44895402
(주)링네트,42500,18-Dec,124044178,137188238,123724960,137560878,89.94196737
(주)링네트,42500,19-Dec,112530139,130579734,113421351,131919333,85.97780812
